,pcode,practice,trial,block,questionType,condition,question,PTS,TargetPosition,AccessoryPosition,TNS,T1_hz,T1_amp,T2_hz,T2_amp,P_hz,P_amp,response_dicho,response_rating,response_sdt,rt,P_correct
91,t#jc019,False,76,1,equal,ST1_high_2_a2,P = T1?,Same,1,2,high,112,1.09,82,1.29,112,1.22,Yes,sure,hit,0.9560556411743164,NA
92,t#jc019,False,77,1,equal,ST2_low_2_a1,P = T2?,Same,2,1,low,132,0.91,82,1.45,82,1.52,Yes,sure,hit,0.8178744316101074,NA
93,t#jc019,False,78,1,equal,ST2_high_4_a2,P = T2?,Same,2,2,high,96,1.07,70,1.52,70,1.77,Yes,sure,hit,1.3375728130340576,NA
94,t#jc019,False,79,1,equal,DT2_low_3_a2,P = T1?,Different,2,2,low,70,1.46,112,1.03,132,1.05,No,sure,cr,1.0237691402435303,NA
95,t#jc019,False,80,1,equal,ST2_low_6_a2,P = T1?,Same,2,2,low,154,0.78,96,1.46,96,0.98,No,quiteSure,cr,0.9337911605834961,NA
96,t#jc019,False,81,1,equal,ST1_low_2_a2,P = T1?,Same,1,2,low,132,0.8,82,1.44,132,0.89,Yes,sure,hit,1.1925294399261475,NA
97,t#jc019,False,82,1,equal,ST2_low_2_a2,P = T1?,Same,2,2,low,132,0.97,82,1.64,82,1.5,No,sure,cr,0.859748363494873,NA
98,t#jc019,False,83,1,equal,ST2_low_2_a2,P = T2?,Same,2,2,low,132,0.91,82,1.43,82,1.38,Yes,sure,hit,2.7581589221954346,NA
99,t#jc019,False,84,1,equal,ST1_low_4_a2,P = T2?,Same,1,2,low,112,1.07,70,1.73,112,1.05,Yes,sure,fa,0.8172309398651123,NA
100,t#jc019,False,85,1,equal,ST1_high_3_a2,P = T1?,Same,1,2,high,70,1.38,96,1.21,70,1.84,Yes,sure,hit,0.890411376953125,NA
101,t#jc019,False,86,1,equal,ST2_low_4_a1,P = T1?,Same,2,1,low,112,0.92,70,1.52,70,1.57,No,sure,cr,1.0582530498504639,NA
102,t#jc019,False,87,1,equal,ST2_low_4_a1,P = T2?,Same,2,1,low,112,1.0,70,1.42,70,1.76,Yes,sure,hit,1.357957124710083,NA
103,t#jc019,False,88,1,equal,ST2_low_6_a1,P = T1?,Same,2,1,low,154,0.89,96,1.2,96,1.08,No,sure,cr,1.7600257396697998,NA
104,t#jc019,False,89,1,equal,ST2_low_4_a2,P = T1?,Same,2,2,low,112,0.94,70,1.81,70,1.5,No,sure,cr,1.2722744941711426,NA
105,t#jc019,False,90,1,equal,ST1_high_1_a1,P = T1?,Same,1,1,high,82,1.58,112,1.04,82,1.27,Yes,sure,hit,0.7360455989837646,NA
106,t#jc019,False,91,1,equal,ST2_high_1_a2,P = T2?,Same,2,2,high,82,1.59,112,1.12,112,1.04,Yes,sure,hit,0.7536096572875977,NA
107,t#jc019,False,92,1,equal,ST1_high_6_a1,P = T2?,Same,1,1,high,132,0.88,96,1.28,132,0.88,No,sure,cr,1.2129180431365967,NA
108,t#jc019,False,93,1,equal,ST2_high_1_a1,P = T2?,Same,2,1,high,82,1.29,112,1.01,112,1.22,Yes,sure,hit,1.488753080368042,NA
109,t#jc019,False,94,1,equal,ST2_low_5_a1,P = T1?,Same,2,1,low,96,1.16,154,0.82,154,0.9,No,sure,cr,1.7001688480377197,NA
110,t#jc019,False,95,1,equal,DT2_high_1_a1,P = T1?,Different,2,1,high,82,1.46,112,1.03,132,0.95,Yes,sure,fa,1.1998777389526367,NA
111,t#jc019,False,96,1,equal,ST1_high_3_a1,P = T1?,Same,1,1,high,70,1.69,96,1.11,70,1.62,Yes,sure,hit,1.091991901397705,NA
112,t#jc019,False,97,1,equal,DT1_low_4_a2,P = T2?,Different,1,2,low,112,0.92,70,1.49,132,0.81,Yes,sure,fa,2.306932210922241,NA
113,t#jc019,False,98,1,equal,ST1_high_6_a1,P = T1?,Same,1,1,high,132,0.96,96,1.17,132,1.02,Yes,sure,hit,1.0087246894836426,NA
114,t#jc019,False,99,1,equal,ST2_low_6_a2,P = T2?,Same,2,2,low,154,0.71,96,1.23,96,1.42,Yes,sure,hit,0.6166915893554688,NA
115,t#jc019,False,100,1,equal,ST2_high_4_a1,P = T2?,Same,2,1,high,96,1.33,70,1.62,70,1.37,Yes,sure,hit,0.6672112941741943,NA
116,t#jc019,False,101,1,equal,ST1_low_4_a1,P = T2?,Same,1,1,low,112,1.15,70,1.57,112,0.99,No,sure,cr,3.8795828819274902,NA
117,t#jc019,False,102,1,equal,ST1_low_3_a2,P = T2?,Same,1,2,low,70,1.47,112,1.13,70,1.44,No,sure,cr,2.18965482711792,NA
118,t#jc019,False,103,1,equal,ST2_high_6_a2,P = T2?,Same,2,2,high,132,0.96,96,1.32,96,1.08,Yes,sure,hit,1.7356746196746826,NA
119,t#jc019,False,104,1,equal,ST1_low_2_a1,P = T1?,Same,1,1,low,132,0.79,82,1.27,132,1.12,Yes,sure,hit,1.7229607105255127,NA
120,t#jc019,False,105,1,equal,ST1_low_1_a1,P = T1?,Same,1,1,low,82,1.22,132,0.95,82,1.41,Yes,sure,hit,1.1162540912628174,NA
121,t#jc019,False,106,1,equal,ST1_high_1_a2,P = T1?,Same,1,2,high,82,1.53,112,1.06,82,1.25,Yes,sure,hit,0.6630218029022217,NA
122,t#jc019,False,107,1,equal,ST1_low_2_a2,P = T2?,Same,1,2,low,132,0.89,82,1.3,132,0.81,No,sure,cr,1.0447423458099365,NA
123,t#jc019,False,108,1,equal,ST2_high_1_a2,P = T1?,Same,2,2,high,82,1.46,112,1.12,112,1.07,No,sure,cr,1.189748764038086,NA
124,t#jc019,False,109,1,equal,ST1_low_1_a2,P = T2?,Same,1,2,low,82,1.47,132,0.94,82,1.43,No,quiteSure,cr,1.0520241260528564,NA
125,t#jc019,False,110,1,equal,ST1_low_6_a1,P = T2?,Same,1,1,low,154,0.95,96,1.15,154,0.83,No,quiteSure,cr,1.1166877746582031,NA
126,t#jc019,False,111,1,equal,ST1_low_1_a2,P = T1?,Same,1,2,low,82,1.26,132,0.83,82,1.49,Yes,sure,hit,0.7967314720153809,NA
127,t#jc019,False,112,1,equal,ST2_high_4_a2,P = T1?,Same,2,2,high,96,1.24,70,1.76,70,1.69,No,quiteSure,cr,1.0920696258544922,1.0
